Razão Social,Fundo,Segmento,Código,Concat,,Ontem,Volume Atual,Variação Desde Ontem,Tendências
FDO INV IMOB VOTORANTIM SHOPPING,FII VOT SHOP,,VSHO,VSHO11,"R$ 108,00",#N/A,1805,#N/A,
FDO INV. IMOB. FOF INTEGRAL BREI,FII FOF BREI,,IBFF,IBFF11,"R$ 96,00",#N/A,1667,#N/A,
FDO INV. IMOB. PLURAL RECEBIVEIS,FII PLURAL R,,PLCR,PLCR11,"R$ 98,99","280,7",3498,#N/A,
FDO INV. IMOB. PLUS,FII PLUS,,VTPL,VTPL11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV. IMOB. VBI CRI,FII VBI CRI,,CVBI,CVBI11,"R$ 102,00",#N/A,3908,#N/A,
FDO INV. INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,FII MAUA,,MCCI,MCCI11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,FII ATRIO,,ARRI,ARRI11,"R$ 100,90",#N/A,401,#N/A,
FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,FII IRIDIUM,,IRDM,IRDM11,"R$ 123,60","23,47",18687,#N/A,
FUNDO DE FDO INV IMOB KINEA FII,FII KINEAFOF,,KFOF,KFOF11,"R$ 127,00",#N/A,7627,#N/A,
FUNDO INV IMOB - OURINVEST CYRELA - FII,FII OURICYRE,,OUCY,OUCY11,"R$ 96,50",#N/A,2296,#N/A,
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,FII GENERAL,,GSFI,GSFI11,"R$ 4,01","0,98",10114,#N/A,
GGR COVEPI RENDA FDO INV IMOB,FII GGRCOVEP,,GGRC,GGRC11,"R$ 138,60",#N/A,24131,#N/A,
GRUPO RCFA FDO INV IMOB,FII GP RCFA,,RCFA,RCFA11,"R$ 3,60",#N/A,12508,#N/A,
HABITAT II - FDO INV IMOB,FII HABIT II,,HABT,HABT11,"R$ 110,98","10,68",14296,#N/A,
HAZ FDO INV IMOB - FII,FII HAZ,,ATCR,ATCR11,"R$ 0,00",#N/A,0,#N/A,#N/A
HECTARE CE - FDO INV IMOB,FII HECTARE,,HCTR,HCTR11,"R$ 141,94",#N/A,4664,#N/A,
HEDGE AAA FDO. INV. IMOB.,FII HEDGEAAA,,HAAA,HAAA11,#N/A,#N/A,#N/A,#N/A,#N/A
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB,FII HATRIUM,,ATSA,ATSA11,"R$ 123,00",#N/A,2981,#N/A,
HEDGE BRASIL SHOPPING FDO INV IMOB,FII HEDGEBS,,HGBS,HGBS11,"R$ 286,99",#N/A,14792,#N/A,
HEDGE LOGÍSTICA FDO. INV. IMOB.,FII HEDGELOG,,HLOG,HLOG11,#N/A,#N/A,#N/A,#N/A,#N/A
HEDGE REALTY DEVELOPMENT FDO INV IMOB,FII HREALTY,,HRDF,HRDF11,"R$ 0,00",#N/A,0,#N/A,#N/A
HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB,FII HEDMOCA,,HMOC,HMOC11,"R$ 243,01",#N/A,50,#N/A,
HEDGE TOP FOFII 2 FDO INV IMOB,FII HTOPFOF2,,FOFT,FOFT11,"R$ 111,26",#N/A,2875,#N/A,
HEDGE TOP FOFII 3 FDO INV IMOB,FII HTOPFOF3,,HFOF,HFOF11,"R$ 110,32",#N/A,58449,#N/A,
HEDGE TOP FOFII FDO INV IMOB,FII HTOPFOF,,TFOF,TFOF11,#N/A,#N/A,#N/A,#N/A,#N/A
HSI MALL FDO INV IMOB,FII HSI MALL,,HSML,HSML11,"R$ 109,50",#N/A,55420,#N/A,
HUSI FDO INV. IMOB.,FII HUSI,,HUSI,HUSI11,#N/A,#N/A,#N/A,#N/A,#N/A
ICON REALTY I FDO INV IMOB,FII ICON,,PRGD,PRGD11,#N/A,#N/A,#N/A,#N/A,#N/A
INTER TÍTULOS IMOB. FDO INV. IMOB.,FII INTER,,BICR,BICR11,#N/A,#N/A,#N/A,#N/A,#N/A
